Benchmark                                                                  (kcasName)  (n)   Mode  Cnt         Score         Error  Units
c.e.r.bench.CounterBench.locked                                                   N/A  N/A  thrpt   20  21149867.396 ±  546266.964  ops/s
c.e.r.bench.CounterBench.lockedN                                                  N/A    2  thrpt   20   7495557.068 ±  187377.382  ops/s
c.e.r.bench.CounterBench.lockedN                                                  N/A    4  thrpt   20   4245960.130 ±  659078.575  ops/s
c.e.r.bench.CounterBench.lockedN                                                  N/A    8  thrpt   20   2299734.910 ±  123880.975  ops/s
c.e.r.bench.CounterBench.lockedN                                                  N/A   16  thrpt   20   1188239.917 ±   48713.100  ops/s
c.e.r.bench.CounterBench.react                              com.example.rea.kcas.CASN  N/A  thrpt   20   1566653.912 ±   43879.402  ops/s
c.e.r.bench.CounterBench.react                         com.example.rea.kcas.NaiveKCAS  N/A  thrpt   20   2572825.331 ±   42473.645  ops/s
c.e.r.bench.CounterBench.reactN                             com.example.rea.kcas.CASN    2  thrpt   20    622516.335 ±   13529.320  ops/s
c.e.r.bench.CounterBench.reactN                             com.example.rea.kcas.CASN    4  thrpt   20    241697.764 ±    7106.598  ops/s
c.e.r.bench.CounterBench.reactN                             com.example.rea.kcas.CASN    8  thrpt   20     80666.459 ±    1651.756  ops/s
c.e.r.bench.CounterBench.reactN                             com.example.rea.kcas.CASN   16  thrpt   20     21419.918 ±     561.458  ops/s
c.e.r.bench.CounterBench.reactN                        com.example.rea.kcas.NaiveKCAS    2  thrpt   20    723491.371 ±   22670.547  ops/s
c.e.r.bench.CounterBench.reactN                        com.example.rea.kcas.NaiveKCAS    4  thrpt   20    271977.113 ±    6157.152  ops/s
c.e.r.bench.CounterBench.reactN                        com.example.rea.kcas.NaiveKCAS    8  thrpt   20     85300.321 ±    1590.779  ops/s
c.e.r.bench.CounterBench.reactN                        com.example.rea.kcas.NaiveKCAS   16  thrpt   20     22244.994 ±     596.427  ops/s
c.e.r.bench.CounterBench.reference                                                N/A  N/A  thrpt   20   7261143.524 ±   30257.331  ops/s
c.e.r.bench.QueueBench.JDK                                                        N/A  N/A  thrpt   20  18583749.204 ±  563438.924  ops/s
c.e.r.bench.QueueBench.JDK:concurrentQueueConsumer                                N/A  N/A  thrpt   20  12385964.437 ±  561998.470  ops/s
c.e.r.bench.QueueBench.JDK:concurrentQueueProducer                                N/A  N/A  thrpt   20   6197784.767 ±   45803.463  ops/s
c.e.r.bench.QueueBench.LCK                                                        N/A  N/A  thrpt   20  11505953.834 ±  956893.840  ops/s
c.e.r.bench.QueueBench.LCK:lockedQueueConsumer                                    N/A  N/A  thrpt   20   9349723.783 ± 1146479.747  ops/s
c.e.r.bench.QueueBench.LCK:lockedQueueProducer                                    N/A  N/A  thrpt   20   2156230.051 ±  400115.861  ops/s
c.e.r.bench.QueueBench.MS                                   com.example.rea.kcas.CASN  N/A  thrpt   20   1167675.572 ±   62192.917  ops/s
c.e.r.bench.QueueBench.MS:michaelScottQueueConsumer         com.example.rea.kcas.CASN  N/A  thrpt   20    881487.045 ±   48957.154  ops/s
c.e.r.bench.QueueBench.MS:michaelScottQueueProducer         com.example.rea.kcas.CASN  N/A  thrpt   20    286188.527 ±   14424.373  ops/s
c.e.r.bench.QueueBench.MS                              com.example.rea.kcas.NaiveKCAS  N/A  thrpt   20   1442042.272 ±   77726.879  ops/s
c.e.r.bench.QueueBench.MS:michaelScottQueueConsumer    com.example.rea.kcas.NaiveKCAS  N/A  thrpt   20   1087438.519 ±   60685.517  ops/s
c.e.r.bench.QueueBench.MS:michaelScottQueueProducer    com.example.rea.kcas.NaiveKCAS  N/A  thrpt   20    354603.752 ±   18916.942  ops/s
c.e.r.bench.StackBench.concurrentDeque                                            N/A  N/A  thrpt   20  15680634.253 ±  100811.567  ops/s
c.e.r.bench.StackBench.lockedStack                                                N/A  N/A  thrpt   20  11438389.252 ±  473653.929  ops/s
c.e.r.bench.StackBench.referenceStack                                             N/A  N/A  thrpt   20  17770268.884 ±  853789.623  ops/s
c.e.r.bench.StackBench.treiberStack                         com.example.rea.kcas.CASN  N/A  thrpt   20   1920272.912 ±   13126.166  ops/s
c.e.r.bench.StackBench.treiberStack                    com.example.rea.kcas.NaiveKCAS  N/A  thrpt   20   3546683.816 ±   71140.142  ops/s
c.e.r.kcas.bench.KCASBench.failedCAS1                       com.example.rea.kcas.CASN  N/A  thrpt   20   7158740.060 ±  133628.303  ops/s
c.e.r.kcas.bench.KCASBench.failedCAS1                  com.example.rea.kcas.NaiveKCAS  N/A  thrpt   20  10666665.042 ±  385856.973  ops/s
c.e.r.kcas.bench.KCASBench.failedCAS1Baseline                                     N/A  N/A  thrpt   20  26159367.805 ±  452935.460  ops/s
c.e.r.kcas.bench.KCASBench.successfulCAS1Loop               com.example.rea.kcas.CASN  N/A  thrpt   20   1368690.013 ±   15568.164  ops/s
c.e.r.kcas.bench.KCASBench.successfulCAS1Loop          com.example.rea.kcas.NaiveKCAS  N/A  thrpt   20   1944596.398 ±   11861.831  ops/s
c.e.r.kcas.bench.KCASBench.successfulCAS1LoopBaseline                             N/A  N/A  thrpt   20   3180476.278 ±   21876.041  ops/s
c.e.r.kcas.bench.KCASBench.successfulKCASLoop               com.example.rea.kcas.CASN  N/A  thrpt   20    220245.167 ±   23076.321  ops/s
c.e.r.kcas.bench.KCASBench.successfulKCASLoop          com.example.rea.kcas.NaiveKCAS  N/A  thrpt   20    223278.170 ±    9582.258  ops/s
c.e.r.kcas.bench.KCASBench.successfulKCASLoopBaseline                             N/A  N/A  thrpt   20   1532893.544 ±    8358.094  ops/s
